Date,Category,Description,Amount
2024-01-02,Office,Rent,3500
2024-01-03,Software,Adobe Creative Suite,79.99
2024-01-05,Travel,Client Meeting - Uber,45.20
2024-01-08,Software,GitHub Pro,7
2024-01-10,Marketing,Facebook Ads,250
2024-01-12,Office,Internet Service,120
2024-01-15,Equipment,Ergonomic Keyboard,189.99
2024-01-16,Travel,Conference Hotel,450
2024-01-18,Marketing,Google Ads,500
2024-01-20,Meals,Client Lunch,87.50
2024-01-22,Software,Zoom Pro,14.99
2024-01-25,Office,Office Supplies,67.30
2024-01-28,Professional,Legal Consultation,350
2024-01-30,Software,AWS Services,142.18
